"";"County";"pop2022";"area_milessquared";"density_permilessquared";"sum_new_positives";"sum_cumulative_no_of_positive";"sum_total_number_of_tests";"sum_cumulative_no_of_tests";"median_test_positive";"settlement_type"
"1";"Kings";2782348;69,8126;39854,5289;860573;362966136;18713833;8370878686;"2.45%";"Urban"
"2";"Queens";2440412;108,7681;22436,8367;813384;345088691;14735060;6902671989;"2.49%";"Urban"
"3";"New York City";1715927;22,6558;75738,8946;2908643;1224453265;60433651;27893288263;"2.51%";"Urban"
"4";"Suffolk";1532434;911,7219;1680,813;532466;238589467;8496337;4261845093;"3.43%";"Urban"
"5";"Bronx";1490164;42,0506;35437,3653;480247;214795050;8847438;4167554932;"2.62%";"Urban"
"6";"Nassau";1407022;284,81;4940,2121;515433;225331004;8400598;4188172601;"2.99%";"Urban"
"7";"Westchester";1015525;430,516;2358,8553;315569;146918040;5863188;2968795951;"2.92%";"Urban"
"8";"Erie";961276;1042,6977;921,9125;259074;110683234;4230697;2209228099;"2.52%";"Urban"
"9";"Monroe";762463;657,2105;1160,1504;184340;81266752;3656142;1917145805;"3.25%";"Urban"
"10";"Richmond";501151;58,1779;8614,1174;200638;89295232;3686952;1779385800;"3.25%";"Urban"
"11";"Onondaga";478414;778,4094;614,6046;137709;55993243;2797843;1457537033;"2.87%";"Urban"
"12";"Orange";407010;811,6988;501,4299;131134;58559762;1968284;904265527;"3.72%";"Urban"
"13";"Rockland";343657;173,5039;1980,6877;112172;53675641;2358136;1029309794;"3.01%";"Urban"
"14";"Albany";316976;522,8113;606,2914;75450;31527049;1402792;718954664;"2.43%";"Urban"
"15";"Dutchess";295595;795,6356;371,5206;79872;34848939;1482191;765609824;"2.30%";"Urban"
"16";"Saratoga";238689;809,9962;294,6792;59019;22929569;1076644;532008522;"2.44%";"Urban"
"17";"Oneida";231575;1212,4134;191,0033;66461;28508629;1527340;790655393;"2.04%";"Urban"
"18";"Niagara";211906;522,3527;405,6761;57583;24783016;904150;468974555;"20.69%";"Urban"
"19";"Broome";198299;705,7655;280,9701;56238;23809846;1183008;600726726;"2.85%";"Urban"
"20";"Ulster";181723;1124,235;161,6415;40739;17116464;867586;439724686;"2.64%";"Urban"
"21";"Rensselaer";161470;652,4322;247,4893;40127;15928044;875724;447596670;"21.30%";"Urban"
"22";"Schenectady";158727;204,5787;775,8727;41888;17263319;837442;420680184;"23.60%";"Urban"
"23";"Chautauqua";126207;1060,2265;119,0378;28390;11963811;529410;284656873;"17.24%";"Urban"
"24";"Jefferson";116819;1268,677;92,0794;25649;9657042;407594;191971766;"2.41%";"Urban"
"25";"Oswego";116609;951,6435;122,5343;33236;12623729;532339;268731166;"1.81%";"Urban"
"26";"Ontario";113364;644,064;176,0136;25002;10107862;480819;244314298;"2.55%";"Urban"
"27";"St. Lawrence";107817;2680,3786;40,2245;25514;10258273;620537;323161242;"2.05%";"Urban"
"28";"Tompkins";106576;474,6493;224,5363;25501;8872160;3060032;1825314743;"10.08%";"Urban"
"29";"Putnam";97260;230,3116;422,2975;29694;12765002;490627;243060578;"2.59%";"Urban"
"30";"Steuben";92502;1390,5728;66,5208;24398;10006178;476678;233587858;"2.50%";"Urban"
"31";"Wayne";90785;603,8264;150,3495;21009;8496183;383003;193346376;"2.53%";"Urban"
"32";"Chemung";83212;407,3527;204,2751;25750;10781572;482115;240229506;"2.80%";"Urban"
"33";"Clinton";79387;1037,8526;76,4916;21495;7897140;405091;204944024;"16.67%";"Urban"
"34";"Sullivan";78840;968,1347;81,4349;23209;9439839;377092;162432097;"3.13%";"Urban"
"35";"Cattaraugus";76386;1308,3601;58,383;18648;7739886;307715;159238111;"2.01%";"Urban"
"36";"Cayuga";75492;691,5917;109,1569;19636;8258733;395524;199795061;"2.05%";"Urban"
"37";"Madison";66930;654,8646;102,2043;16241;6602449;372206;191580055;"1.89%";"Urban"
"38";"Warren";65743;866,9581;75,8318;18009;6588480;339906;161155740;"2.31%";"Urban"
"39";"Columbia";61264;634,7275;96,5202;13108;5333242;253036;134198616;"1.94%";"Urban"
"40";"Livingston";61122;631,7622;96,7484;13875;5860772;285393;152289219;"21.57%";"Urban"
"41";"Washington";60920;831,1669;73,2945;15050;5671655;288217;138784081;"2.00%";"Urban"
"42";"Herkimer";59263;1411,5299;41,9849;16859;7020942;325883;165269120;"1.80%";"Urban"
"43";"Genesee";58050;492,9359;117,7638;16033;6962833;274587;141618902;"20.54%";"Urban"
"44";"Otsego";57776;1001,7094;57,6774;12728;4951672;312369;158059656;"2.10%";"Urban"
"45";"Fulton";52882;495,4601;106,7331;15935;6306546;230615;114053436;"1.69%";"Urban"
"46";"Montgomery";49394;403,1168;122,5302;14485;5881959;223329;114646701;"17.02%";"Micropolitan"
"47";"Tioga";47921;518,6096;92,4028;13520;5420118;234100;115425950;"2.59%";"Micropolitan"
"48";"Greene";47673;647,1615;73,6648;10413;4408700;181361;91910867;"2.54%";"Micropolitan"
"49";"Franklin";46747;1629,0705;28,6955;11662;4435661;217883;104817335;"19.51%";"Micropolitan"
"50";"Chenango";46568;893,5573;52,1153;11387;4672090;237180;120749908;"2.41%";"Micropolitan"
"51";"Cortland";46303;498,7729;92,8338;12837;5327906;306593;162613835;"2.11%";"Micropolitan"
"52";"Allegany";45958;1029,3002;44,6498;10396;4540770;248725;135187844;"1.67%";"Micropolitan"
"53";"Delaware";43574;1442,4601;30,2081;9685;3752771;200498;101931557;"2.24%";"Micropolitan"
"54";"Wyoming";40207;592,7513;67,8311;9682;4267904;158197;82232070;"18.97%";"Micropolitan"
"55";"Orleans";39835;391,2631;101,8113;10149;4331454;158360;79497423;"19.67%";"Micropolitan"
"56";"Essex";36983;1794,2666;20,6118;7336;2731432;165134;82082708;"1.87%";"Micropolitan"
"57";"Seneca";33526;323,7095;103,5682;7336;2910342;139448;69545097;"19.57%";"Micropolitan"
"58";"Schoharie";29106;621,8189;46,8078;6316;2459421;121375;60203463;"18.29%";"Micropolitan"
"59";"Lewis";26482;1274,6433;20,776;7069;3184476;104111;52934295;"17.14%";"Micropolitan"
"60";"Yates";24660;338,1428;72,9278;4284;1710253;91696;45587836;"14.29%";"Rural"
"61";"Schuyler";17810;328,3332;54,2437;4209;1680264;99602;47465529;"1.82%";"Rural"
"62";"Hamilton";5161;1717,3817;3,0052;1054;432991;20261;10356622;"0.00%";"Rural"
