County,pop2022,area_milessquared,density_permilessquared
Kings,2782348,69.8126,39854.5289
Queens,2440412,108.7681,22436.8367
New York City,1715927,22.6558,75738.8946
Suffolk,1532434,911.7219,1680.813
Bronx,1490164,42.0506,35437.3653
Nassau,1407022,284.81,4940.2121
Westchester,1015525,430.516,2358.8553
Erie,961276,1042.6977,921.9125
Monroe,762463,657.2105,1160.1504
Richmond,501151,58.1779,8614.1174
Onondaga,478414,778.4094,614.6046
Orange,407010,811.6988,501.4299
Rockland,343657,173.5039,1980.6877
Albany,316976,522.8113,606.2914
Dutchess,295595,795.6356,371.5206
Saratoga,238689,809.9962,294.6792
Oneida,231575,1212.4134,191.0033
Niagara,211906,522.3527,405.6761
Broome,198299,705.7655,280.9701
Ulster,181723,1124.235,161.6415
Rensselaer,161470,652.4322,247.4893
Schenectady,158727,204.5787,775.8727
Chautauqua,126207,1060.2265,119.0378
Jefferson,116819,1268.677,92.0794
Oswego,116609,951.6435,122.5343
Ontario,113364,644.064,176.0136
St. Lawrence,107817,2680.3786,40.2245
Tompkins,106576,474.6493,224.5363
Putnam,97260,230.3116,422.2975
Steuben,92502,1390.5728,66.5208
Wayne,90785,603.8264,150.3495
Chemung,83212,407.3527,204.2751
Clinton,79387,1037.8526,76.4916
Sullivan,78840,968.1347,81.4349
Cattaraugus,76386,1308.3601,58.383
Cayuga,75492,691.5917,109.1569
Madison,66930,654.8646,102.2043
Warren,65743,866.9581,75.8318
Columbia,61264,634.7275,96.5202
Livingston,61122,631.7622,96.7484
Washington,60920,831.1669,73.2945
Herkimer,59263,1411.5299,41.9849
Genesee,58050,492.9359,117.7638
Otsego,57776,1001.7094,57.6774
Fulton,52882,495.4601,106.7331
Montgomery,49394,403.1168,122.5302
Tioga,47921,518.6096,92.4028
Greene,47673,647.1615,73.6648
Franklin,46747,1629.0705,28.6955
Chenango,46568,893.5573,52.1153
Cortland,46303,498.7729,92.8338
Allegany,45958,1029.3002,44.6498
Delaware,43574,1442.4601,30.2081
Wyoming,40207,592.7513,67.8311
Orleans,39835,391.2631,101.8113
Essex,36983,1794.2666,20.6118
Seneca,33526,323.7095,103.5682
Schoharie,29106,621.8189,46.8078
Lewis,26482,1274.6433,20.776
Yates,24660,338.1428,72.9278
Schuyler,17810,328.3332,54.2437
Hamilton,5161,1717.3817,3.0052
